year,season_week,region,sales_channel,category,product,package_type,diet_label,unit_price_usd,calories_kcal,sugar_g,spice_index,discount_rate,units_sold,demand_segment,date_str,date
2022.0,9.0,south,online,beverage,matcha latte,bowl,regular,5.21,166.2,11.5,1.5,16.9,26.0,medium,2022-W09-1,2022-02-28
2022.0,2.0,west,online,beverage,apple cider,bowl,regular,4.09,160.3,23.7,3.8,15.0,35.0,medium,2022-W02-1,2022-01-10
2022.0,9.0,central,supermarket,beverage,chai tea,bag,regular,2.42,143.3,12.9,5.9,12.7,107.0,high,2022-W09-1,2022-02-28
2024.0,10.0,south,supermarket,food,cinnamon cookies,bowl,regular,4.27,447.8,34.6,3.2,16.3,79.0,high,2024-W10-1,2024-03-11
2023.0,9.0,east,online,beverage,espresso,cup,dairy-free,2.43,5.0,0.0,0.8,18.0,35.0,medium,2023-W09-1,2023-02-27
2022.0,4.0,south,supermarket,beverage,apple cider,can,low-sugar,3.03,130.8,13.5,4.3,11.6,51.0,high,2022-W04-1,2022-01-24
2024.0,1.0,north,supermarket,food,baked potato,bowl,regular,6.05,460.5,4.4,1.4,10.5,23.0,low,2024-W01-1,2024-01-08
2022.0,12.0,north,cafe,beverage,ginger tea,bottle,regular,2.87,30.1,7.6,4.2,10.4,35.0,medium,2022-W12-1,2022-03-21
2024.0,5.0,north,convenience,food,cinnamon cookies,box,vegan,5.7,373.4,30.6,2.4,8.0,30.0,medium,2024-W05-1,2024-02-05
2023.0,11.0,central,cafe,beverage,chai tea,bowl,regular,4.73,129.5,10.3,5.4,8.3,25.0,medium,2023-W11-1,2023-03-13
2023.0,3.0,east,online,food,lentil soup,cup,gluten-free,5.53,210.2,6.1,5.1,15.9,24.0,medium,2023-W03-1,2023-01-16
2023.0,3.0,central,supermarket,food,lentil soup,bowl,dairy-free,5.4,253.9,3.5,2.9,11.4,28.0,medium,2023-W03-1,2023-01-16
2024.0,11.0,west,convenience,beverage,matcha latte,bowl,regular,6.26,194.6,15.7,1.3,9.2,20.0,low,2024-W11-1,2024-03-18
2023.0,13.0,north,online,beverage,mulled wine,bag,regular,5.69,173.6,17.5,6.3,20.7,15.0,low,2023-W13-1,2023-03-27
2022.0,12.0,north,supermarket,beverage,ginger tea,bottle,regular,2.67,26.5,4.3,5.1,14.5,41.0,medium,2022-W12-1,2022-03-21
2022.0,10.0,west,wholesale,beverage,herbal tea,bowl,regular,2.41,26.6,0.0,0.0,21.3,84.0,high,2022-W10-1,2022-03-07
2025.0,4.0,south,wholesale,food,roasted chestnuts,can,regular,4.98,308.5,8.4,2.6,19.1,29.0,medium,2025-W04-1,2025-01-27
2025.0,12.0,central,supermarket,food,gingerbread,can,regular,4.29,366.2,29.3,4.9,17.4,22.0,low,2025-W12-1,2025-03-24
2024.0,9.0,north,cafe,food,winter salad,cup,regular,5.83,175.9,8.1,0.9,6.4,12.0,low,2024-W09-1,2024-03-04
2023.0,3.0,nan,supermarket,beverage,nan,box,regular,5.06,166.5,13.6,1.9,11.0,49.0,high,2023-W03-1,2023-01-16
2025.0,2.0,west,cafe,food,stuffed pastry,bag,regular,6.72,464.7,8.3,2.5,6.0,14.0,low,2025-W02-1,2025-01-13
2025.0,12.0,south,nan,beverage,apple cider,can,vegan,5.18,132.5,21.8,4.1,22.5,27.0,medium,2025-W12-1,2025-03-24
2024.0,4.0,south,online,food,roasted chestnuts,bowl,regular,6.1,343.9,7.6,0.6,16.2,12.0,low,2024-W04-1,2024-01-29
2023.0,10.0,central,cafe,food,baked potato,cup,low-sugar,6.65,374.5,1.4,2.1,8.3,27.0,medium,2023-W10-1,2023-03-06
2023.0,2.0,south,online,food,lentil soup,bowl,regular,4.87,269.9,4.5,3.8,15.4,34.0,medium,2023-W02-1,2023-01-09
2022.0,4.0,east,cafe,food,lentil soup,bottle,regular,6.11,263.6,6.6,4.5,6.0,11.0,low,2022-W04-1,2022-01-24
2025.0,4.0,east,supermarket,food,winter salad,bowl,regular,5.59,183.7,5.9,0.2,12.0,30.0,medium,2025-W04-1,2025-01-27
2023.0,4.0,south,convenience,beverage,espresso,cup,vegan,2.49,5.0,1.4,2.6,9.1,36.0,medium,2023-W04-1,2023-01-23
2022.0,9.0,west,convenience,food,roasted chestnuts,bowl,regular,5.18,348.9,7.1,0.7,9.9,20.0,low,2022-W09-1,2022-02-28
2023.0,12.0,west,supermarket,beverage,nan,cup,regular,3.73,154.0,22.3,3.8,16.8,41.0,medium,2023-W12-1,2023-03-20
2024.0,12.0,south,cafe,beverage,mulled wine,bowl,regular,8.79,187.0,19.8,5.2,9.6,8.0,low,2024-W12-1,2024-03-25
2022.0,10.0,central,online,beverage,herbal tea,bowl,dairy-free,2.84,28.5,3.6,0.1,19.7,56.0,high,2022-W10-1,2022-03-07
2025.0,3.0,north,supermarket,beverage,herbal tea,cup,regular,2.84,5.0,1.2,0.4,10.5,38.0,medium,2025-W03-1,2025-01-20
2025.0,13.0,north,online,food,lentil soup,bottle,regular,5.93,284.3,4.5,3.3,20.7,22.0,low,2025-W13-1,2025-03-31
2024.0,8.0,east,convenience,food,cinnamon cookies,box,low-sugar,5.5,412.4,16.1,2.3,10.2,25.0,medium,2024-W08-1,2024-02-26
2023.0,8.0,central,convenience,food,cinnamon cookies,bowl,regular,4.54,433.6,31.6,1.9,12.1,19.0,low,2023-W08-1,2023-02-20
2024.0,10.0,north,convenience,beverage,spiced latte,cup,regular,4.97,192.3,18.7,5.3,11.5,33.0,medium,2024-W10-1,2024-03-11
2024.0,10.0,north,convenience,beverage,ginger tea,bottle,gluten-free,3.16,5.0,7.8,5.0,13.5,42.0,high,2024-W10-1,2024-03-11
2024.0,13.0,east,wholesale,food,winter salad,cup,regular,4.52,199.4,7.6,0.4,25.0,55.0,high,2024-W13-1,2024-04-01
2023.0,8.0,north,wholesale,beverage,espresso,bowl,regular,1.92,5.0,2.3,1.9,22.7,89.0,high,2023-W08-1,2023-02-20
2022.0,10.0,south,supermarket,beverage,hot chocolate,cup,regular,3.45,261.1,27.8,2.2,15.8,101.0,high,2022-W10-1,2022-03-07
2024.0,4.0,west,supermarket,beverage,apple cider,bowl,low-sugar,4.75,131.7,9.9,3.7,12.1,24.0,medium,2024-W04-1,2024-01-29
2023.0,5.0,south,supermarket,beverage,espresso,box,regular,2.93,5.0,3.1,0.2,10.5,65.0,high,2023-W05-1,2023-01-30
2022.0,9.0,north,supermarket,beverage,herbal tea,box,regular,1.45,19.4,4.2,0.2,12.8,37.61405295315682,high,2022-W09-1,2022-02-28
2022.0,1.0,north,supermarket,beverage,ginger tea,cup,regular,1.83,15.0,6.6,4.6,10.7,73.0,high,2022-W01-1,2022-01-03
2024.0,5.0,east,online,food,beef stew,cup,vegan,10.19,502.4,4.4,4.1,15.3,9.0,low,2024-W05-1,2024-02-05
2022.0,10.0,east,online,food,beef stew,bottle,regular,9.51,539.6,4.7,3.6,20.0,11.0,low,2022-W10-1,2022-03-07
2025.0,13.0,central,supermarket,beverage,mulled wine,cup,regular,6.76,193.8,19.1,5.4,17.4,10.0,low,2025-W13-1,2025-03-31
2024.0,7.0,west,convenience,beverage,herbal tea,bottle,low-sugar,2.71,31.7,2.2,0.6,9.4,36.0,medium,2024-W07-1,2024-02-19
2023.0,6.0,west,cafe,food,beef stew,cup,regular,4.943781855249744,540.4,0.1,2.6,5.9,3.0,low,2023-W06-1,2023-02-06
2024.0,6.0,central,supermarket,beverage,apple cider,cup,gluten-free,4.6,160.1,26.0,3.2,12.2,19.0,low,2024-W06-1,2024-02-12
2022.0,9.0,east,supermarket,food,pumpkin soup,bowl,regular,5.12,177.9,11.3,3.8,17.0,32.0,medium,2022-W09-1,2022-02-28
2025.0,8.0,east,supermarket,beverage,herbal tea,cup,regular,2.19,5.0,0.0,0.8,12.6,54.0,high,2025-W08-1,2025-02-24
2023.0,1.0,nan,online,food,stuffed pastry,bowl,vegan,6.85,469.6,3.4,3.5,14.3,17.0,low,2023-W01-1,2023-01-02
2025.0,8.0,south,convenience,beverage,ginger tea,cup,gluten-free,3.34,7.1,7.0,6.4,9.5,67.0,high,2025-W08-1,2025-02-24
2022.0,6.0,west,online,beverage,ginger tea,bowl,regular,2.46,29.1,5.4,6.4,17.9,55.0,high,2022-W06-1,2022-02-07
2023.0,10.0,west,cafe,food,lentil soup,bottle,regular,6.03,266.1,4.7,4.5,9.2,14.0,low,2023-W10-1,2023-03-06
2024.0,12.0,north,cafe,food,pumpkin soup,box,gluten-free,7.67,246.5,10.5,3.2,9.4,6.0,low,2024-W12-1,2024-03-25
2025.0,13.0,east,supermarket,beverage,mulled wine,box,regular,7.12,179.6,14.8,6.4,18.8,16.0,low,2025-W13-1,2025-03-31
2024.0,8.0,north,convenience,food,pumpkin soup,bottle,regular,6.82,208.4,6.5,3.3,11.4,12.0,low,2024-W08-1,2024-02-26
2023.0,5.0,north,supermarket,food,beef stew,bowl,regular,4.943781855249744,519.1,3.8,4.3,11.6,7.0,low,2023-W05-1,2023-01-30
2023.0,6.0,east,convenience,beverage,matcha latte,cup,regular,5.72,186.3,12.8,2.3,8.6,12.0,low,2023-W06-1,2023-02-06
2023.0,3.0,south,cafe,food,winter salad,bowl,regular,6.29,177.2,6.3,1.2,6.9,11.0,low,2023-W03-1,2023-01-16
2024.0,13.0,west,convenience,food,lentil soup,cup,regular,5.97,278.9,1.0,4.1,13.0,15.0,low,2024-W13-1,2024-04-01
2023.0,12.0,central,cafe,food,roasted chestnuts,bottle,low-sugar,6.9,298.4,3.3,2.4,7.7,27.0,medium,2023-W12-1,2023-03-20
2022.0,12.0,west,convenience,beverage,mulled wine,cup,regular,7.0,192.2,17.6,5.0,9.2,5.0,low,2022-W12-1,2022-03-21
2025.0,5.0,south,wholesale,food,baked potato,box,regular,5.95,418.0,5.3,3.6,19.4,31.0,medium,2025-W05-1,2025-02-03
2025.0,5.0,south,supermarket,food,creamy porridge,bottle,dairy-free,5.56,290.4,7.5,1.3,11.4,24.0,medium,2025-W05-1,2025-02-03
2022.0,12.0,south,convenience,food,lentil soup,bowl,regular,5.32,275.1,1.4,3.0,8.8,16.0,low,2022-W12-1,2022-03-21
2024.0,8.0,north,cafe,food,lentil soup,bottle,regular,6.64,262.7,4.0,3.5,7.3,27.0,medium,2024-W08-1,2024-02-26
2022.0,10.0,central,supermarket,food,cinnamon cookies,cup,regular,3.61,434.2,33.2,1.4,13.2,73.0,high,2022-W10-1,2022-03-07
2024.0,7.0,east,wholesale,food,baked potato,cup,regular,5.41,413.5,4.9,2.8,20.7,37.0,medium,2024-W07-1,2024-02-19
2023.0,6.0,south,supermarket,food,baked potato,bag,regular,5.09,416.8,2.9,1.6,14.3,57.0,high,2023-W06-1,2023-02-06
2024.0,9.0,central,supermarket,food,lentil soup,box,dairy-free,5.83,238.2,4.3,4.1,13.8,33.0,medium,2024-W09-1,2024-03-04
2024.0,11.0,south,online,beverage,spiced latte,cup,gluten-free,5.64,198.6,20.9,5.6,18.8,53.0,high,2024-W11-1,2024-03-18
2025.0,5.0,north,online,food,lentil soup,box,regular,5.6,282.0,4.5,3.5,16.7,41.0,medium,2025-W05-1,2025-02-03
2022.0,11.0,north,convenience,food,stuffed pastry,bottle,regular,6.12,481.4,2.4,1.8,11.7,14.0,low,2022-W11-1,2022-03-14
2025.0,4.0,west,supermarket,beverage,espresso,cup,low-sugar,2.38,5.0,0.6,0.3,12.1,55.0,high,2025-W04-1,2025-01-27
2022.0,6.0,west,supermarket,beverage,mulled wine,can,regular,5.87,193.3,20.5,5.7,13.0,16.0,low,2022-W06-1,2022-02-07
2022.0,12.0,north,online,beverage,hot chocolate,cup,low-sugar,3.78,178.1,12.6,3.8,19.8,72.0,high,2022-W12-1,2022-03-21
2024.0,13.0,central,supermarket,food,gingerbread,cup,regular,5.08,379.7,30.1,6.1,21.5,31.0,medium,2024-W13-1,2024-04-01
2023.0,13.0,central,convenience,food,roasted chestnuts,bowl,vegan,6.33,347.1,6.2,1.0,14.8,19.0,low,2023-W13-1,2023-03-27
2025.0,5.0,central,convenience,food,creamy porridge,cup,gluten-free,5.74,307.7,10.0,1.0,8.5,12.0,low,2025-W05-1,2025-02-03
2025.0,11.0,south,online,food,roasted chestnuts,box,regular,5.97,342.1,7.4,1.2,19.7,31.0,medium,2025-W11-1,2025-03-17
2023.0,13.0,north,supermarket,food,baked potato,bowl,regular,5.49,355.7,6.5,2.4,14.4,28.0,medium,2023-W13-1,2023-03-27
2025.0,13.0,central,supermarket,beverage,herbal tea,box,low-sugar,2.46,5.0,0.7,0.7,16.9,34.0,medium,2025-W13-1,2025-03-31
2023.0,1.0,south,cafe,food,lentil soup,nan,regular,6.94,266.1,6.8,4.4,5.2,10.0,low,2023-W01-1,2023-01-02
2024.0,10.0,west,supermarket,beverage,herbal tea,box,regular,2.42,18.4,0.7,0.3,12.9,102.0,high,2024-W10-1,2024-03-11
2023.0,13.0,west,supermarket,food,pumpkin soup,bottle,regular,5.83,237.3,8.2,2.8,16.7,19.0,low,2023-W13-1,2023-03-27
2025.0,10.0,north,supermarket,food,beef stew,can,regular,4.943781855249744,516.2,1.5,3.5,16.2,11.0,low,2025-W10-1,2025-03-10
2022.0,4.0,west,supermarket,beverage,apple cider,nan,vegan,3.49,152.2,16.9,3.0,12.2,38.0,medium,2022-W04-1,2022-01-24
2022.0,10.0,central,supermarket,beverage,ginger tea,bag,regular,2.25,11.0,6.6,6.0,15.9,37.61405295315682,high,2022-W10-1,2022-03-07
2023.0,2.0,west,supermarket,food,lentil soup,cup,regular,4.74,256.3,8.5,4.0,11.0,24.0,medium,2023-W02-1,2023-01-09
2025.0,7.0,east,convenience,beverage,hot chocolate,bowl,low-sugar,5.19,198.1,16.4,0.7,10.4,28.0,medium,2025-W07-1,2025-02-17
2025.0,9.0,central,cafe,food,pumpkin soup,box,regular,7.47,186.7,10.5,3.6,8.5,16.0,low,2025-W09-1,2025-03-03
2024.0,6.0,east,supermarket,food,baked potato,bottle,regular,6.28,390.5,3.1,1.1,13.5,21.0,low,2024-W06-1,2024-02-12
2025.0,10.0,west,convenience,beverage,matcha latte,box,regular,6.4,207.2,13.5,2.5,13.2,25.0,medium,2025-W10-1,2025-03-10
2025.0,4.0,central,convenience,food,pumpkin soup,bottle,low-sugar,7.04,197.5,7.1,3.3,8.8,8.0,low,2025-W04-1,2025-01-27
2024.0,8.0,west,online,food,creamy porridge,cup,regular,4.6,314.0,14.4,2.7,17.5,32.0,medium,2024-W08-1,2024-02-26
2023.0,9.0,south,supermarket,beverage,chai tea,bowl,gluten-free,4.81,130.8,17.0,7.2,16.4,34.0,medium,2023-W09-1,2023-02-27
2025.0,9.0,north,supermarket,food,winter salad,bottle,regular,5.23,147.8,7.8,0.3,14.1,40.0,medium,2025-W09-1,2025-03-03
2024.0,4.0,south,cafe,food,roasted chestnuts,cup,regular,6.75,356.9,7.1,0.0,6.9,10.0,low,2024-W04-1,2024-01-29
2023.0,4.0,east,online,food,beef stew,cup,dairy-free,9.53,460.1,3.2,2.7,16.1,14.0,low,2023-W04-1,2023-01-23
2022.0,4.0,east,cafe,beverage,mulled wine,cup,low-sugar,6.87,164.8,7.1,5.1,6.8,12.0,low,2022-W04-1,2022-01-24
2024.0,7.0,east,online,beverage,espresso,box,regular,2.48,5.0,0.0,2.5,16.3,82.0,high,2024-W07-1,2024-02-19
2023.0,8.0,south,supermarket,food,stuffed pastry,box,regular,6.15,474.1,3.5,2.0,14.2,33.0,medium,2023-W08-1,2023-02-20
2025.0,5.0,west,wholesale,food,cinnamon cookies,can,regular,4.34,406.9,32.1,3.3,20.3,63.0,high,2025-W05-1,2025-02-03
2023.0,6.0,central,supermarket,beverage,ginger tea,cup,regular,2.53,5.0,5.4,5.3,14.5,79.0,high,2023-W06-1,2023-02-06
