 year ,Season_week,REGION,salesChannel,Category ,ProdUct,Package-Type,diet label,unitPrice_usd,Calories(kcal),sugar_g ,Spice Index,DiscountRate ,Units Sold,DemandSEGMENT 
2023,10,North,Online,Food,Cinnamon Cookies,Bowl*,Regular,4.82,395.8,36.6,2.9,16.7%,49,High
2025,4,East,Supermarket,Food,Roasted Chestnuts,Bowl,Regular,6.67,352.1,7.2,0.8,10.6%,24,Medium
2025,13,South,Supermarket,Beverage,Herbal Tea,Cup,Low-Sugar,NA,5.0,0.0,0.8,14.8%,51,High
2023,6,south,Wholesale,Beverage,Matcha Latte,Bag,Regular,4.0,172.7,13.3,1.6,21.3%,60,High
2023,7,*West,Online,Beverage,Herbal Tea,Bowl,regular,2.1,5.0,2.9,3.1,NA,32,Medium
2024,10,South,Supermarket,Foood,Stuffed Pastry,Bowl,Vegan,7.07,478.1,4.6,1.5,14.8%,26,Medium
2022,9,South,Supermarket,Beverage,Herbal Tea,Can,Regular,1.49,9.3,1.5,0.0,12.1%,87,High
2022,3,North,Supermarket,Beverage,Hot Chocolate,Cup,Low-Sugar,4.45,222.2,15.4,0.9,11.3%,59,High
2022,4,East,Supermarket,Beverage,Apple Cider,Cup,Regular,3.44,152.1,20.7,4.3,11.1%,30,Medium
2025,5,#South,Cafe,Food,Pumpkin Soup,Bottle,Gluten-Free,8.01,228.3,7.7,4.4,7.2%,9,Low
2024,13,South,Wholesale,Beverage,Apple Cider,Cup,Regular,4.23,184.3,22.6,3.3,23.0%,24,Medium
2024,10,South,Supermarket,Food#,Beef Stew,Bowl,Regular,10.59,531.7,0.9,4.1,12.8%,12,Low
2025,5,West,Cafe,Beverage,#Chai Tea,Box,Regular,5.26,152.4,15.0,7.0,6.8%,18,Low
2023,10,Central,Online,Beverage*,Chai Tea,Cup,Low-Sugar,3.59,139.7,6.7,6.4,17.2%,38,Medium
2024,10,East,Online,Beverage,Chai Tea,Bottle,Regular ,3.62,115.2,14.3,6.3,16.6%,56,High
2022,6,West,Supermarket,Beverage,Hot Chocolate,Bowl,Low-Sugar,3.94,205.0,18.4,2.1,13.8%,71,High
2022,6,Central,Online,Beverage,Chai Tea,Cup,Regular,4.1,136.3,13.6,7.1,16.4%,38,Medium
2024,12,Central,Cafe,Beverage,Matcha Latte,Bag,Regular,6.39,166.9,16.0,2.3,6.5%,19,Low
2023,8,West,Cafe,Beverage,Ginger Tea,Bottle,Regular,3.34,15.8,2.1,5.0,7.9%,63,High
2024,2,Central,Cafe,Beverage,Herbal Tea,Cup,Regular,2.53,5.0,0.0,0.9,6.2%,50,High
2025,10,Central,Supermarket,Food,Creamy Porridge,Cup,Dairy-Free,5.35,273.4,9.3,2.8,13.4%,54,High
2024,8,West,Cafe,Beverage,Ginger Tea,Bag,Regular,2.55,30.4,10.2,5.7,10.5%,51,High 
2024,7,East ,Supermarket,Beverage,Apple Cider,Cup,Vegan,3.77,154.0,16.6,4.4,12.3%,46,High
2024,10,North,Online,Beverage,Chai Tea,Bowl, Regular,3.98,125.7,13.8,6.9,19.4%,49,High
2023,12,North,Online,Beverage,Hot Chocolate,Cup,Regular,4.71,241.4,31.2,2.2,21.5%,46,High
2022,5,East,Cafe,Beverage,Spiced Latte,Cup,Regular,6.09,202.2,16.3,4.9,7.7%,17,Low
2023,6,East,Wholesale,Food,Gingerbread,Box,Low-Sugar,4.3,378.4,16.0,6.2,19.5%,59,High
2022,3,East,Online,Beverage,Herbal Tea,Cup,Vegan,2.17,6.8,1.7,1.5,14.9%,70,High
2023,9,East,Supermarket,Food,Baked Potato,Cup,Regular,4.76,422.5,4.4,2.5,15.8%,50,H1gh
2025,6,East,Cafe,Food,Lentil Soup,Can,Regular,6.49,263.7,7.4,3.5,7.0%,18,Low
2022,5,Central,Convenience,Food,Roasted Chestnuts,Box,Regular,5.25,314.8,8.0,1.5,10.1%,36,Medium
2022,10,North,Supermarket,Food,Baked Potato,Cup,NA,5.22,408.4,6.9,2.3,14.0%,25,Medium
2023,6,South,Cafe,Food,Lentil Soup,Cup,Regular,6.18,237.8,3.2,3.8,7.9%,13,Low
2023,7,West,Cafe ,Beverage,Espresso,Bag,Regular*,2.51,5.0,0.0,3.1,6.7%,64,High
2024,6,Central,Convenience,NA,Pumpkin Soup,Bowl,Vegan,7.12,200.0,8.1,2.4,9.2%,11,Low
2024,4,Central,Online,Beverage,Mulled Wine,Box,Dairy-Free,6.75,189.3,12.2,6.7,15.3%,14,Low
2025,2,Central,Wholesale,Food,Pumpkin Soup,Box,Dairy-Free,6.01,187.0,9.3,2.9,19.0%,12,Low
2024,11,Centrall,Online,Beverage,Apple Cider,Bowl,Gluten-Free,4.54,160.3,20.7,3.9,19.2%,25,Medium
2023,2,South,Convenience,Beverage,Chai Tea,Bottle,Regular,4.25,150.3,12.5,8.3,8.1%,13,Low
2025,5,East,Online,Food,Baked Potato,Cup,Vegan,6.8,414.0,4.9,1.6,15.9%,18,Low
2022,9,South,Online,Beverage,Matcha Latte,Bowl,Regular,5.21,166.2,11.5,1.5,16.9%,26,Medium
2022,2,West,Online,Beverage,Apple Cider,Bowl,Regular,4.09,160.3,23.7,3.8,15.0%,35,Medium
2022,9,Central,Supermarket,Beverage,Chai Tea,bag,Regular,2.42,143.3,12.9,5.9,12.7%,107,High
2024,10,South,Supermarket,Food,Cinnamon Cookies,Bowl,Regular,4.27,447.8,34.6,3.2,16.3%,79,High
2023,9,East,ONLINE,Beverage,Espresso,Cup, Dairy-Free,2.43,5.0,0.0,0.8,18.0%,35,Medium
2022,4,South,Supermarket,Beverage,Apple Cider,Can,Low-Sugar,3.03,130.8,13.5,4.3,11.6%,51,High
2024,1,North,Supermarket,Food,Baked Potato,Bowl,Regular,6.05,460.5,4.4,1.4,10.5%,23,Low
2022,12,North,Cafe,Beverage,Ginger Tea,Bottle,Regular,2.87,30.1,7.6,4.2,10.4%,35,Medium
2024,5,North,Convenience,Food,Cinnamon Cookies,Box,Vegan,5.7,373.4,30.6,2.4,8.0%,30,Medium
2023,11,Central,Cafe,Beverage,Chai Tea,Bowl ,Regular,4.73,129.5,10.3,5.4,8.3%,25,Medium
2023,3,East,Online,Food,Lentil Soup,Cup,Gluten-Free,5.53,210.2,6.1,5.1,15.9%,24,Medium
2023,3,Central,Supermarket,Food,Lentil Soup,Bowl,Dairy-Free,5.4,253.9,3.5,2.9,11.4%,28,Medium
2024,11,West,Convenience,Beverage,Matcha Latte, Bowl,Regular,6.26,194.6,15.7,1.3,9.2%,20,Low
2023,13,North,Online,Beverage,Mulled Wine,Bag,Regular,5.69,173.6,17.5,6.3,20.7%,15,Low
2022,12,North,Supermarket,Beverage,Ginger Tea,Bottle,Regular,2.67,26.5,4.3,5.1,14.5%,41,Medium
2022,10,West,Wholesale,Beverage,Herbal Tea,Bowl,Regular,2.41,26.6,0.0,0.0,21.3%,84,High
2025,4,South ,Wholesale,Food,Roasted Chestnuts,Can,Regular,4.98,308.5,8.4,2.6,19.1%,29,MEDIUM
2025,12,Central,Supermarket,Food,Gingerbread,Can,Regular,4.29,366.2,29.3,4.9,17.4%,22,Low
2024,9,North,Cafe,Food,Winter Salad,Cup,Regular,5.83,175.9,8.1,0.9,6.4%,12,Low
2023,3,NA,Supermarket,Beverage,NA,Box,Regular,5.06,166.5,13.6,1.9,11.0%,49,High
2025,2,West,Cafe,Food,Stuffed Pastry,Bag,Regular,6.72,464.7,8.3,2.5,6.0%,14,Low
2025,12,South,NA,Beverage,Apple Cider,Can,Vegan,5.18,132.5,21.8,4.1,22.5%,27,Medium
2024,4,South,Online,Food,Roasted Chestnuts,Bowl,Regular,6.1,343.9,7.6,0.6,16.2%,12,Low
2023,10,Central,Cafe,Food,Baked Potato,Cup,Low-Sugar,6.65,374.5,1.4,2.1,8.3%,27,Medium
2023,2,South,Online,Food,Lentil Soup,Bowl,Regular,4.87,269.9,4.5,3.8,15.4%,34,Medium
2022,4,East,Cafe,Food,Lentil Soup,Bottle,Regular,6.11,263.6,6.6,4.5,6.0%,11,Low
2025,4,East,SUPERMARKET,Food,Winter Salad,Bowl,Regular,5.59,183.7,5.9,0.2,12.0%,30,Medium
2023,4,South,Convenience,Beverage,Espresso,Cup,Vegan,2.49,5.0,1.4,2.6,9.1%,36,Medium
2022,9,West,Convenience,Food,Roasted Chestnuts,Bowl,Regular,5.18,348.9,7.1,0.7,9.9%,20,Low
2023,12,West,Supermarket,Beverage,NA,Cup,Regular,3.73,154.0,22.3,3.8,16.8%,41,Medium
2024,12,South,Cafe,Beverage,Mulled Wine,Bowl,REGULAR,8.79,187.0,19.8,5.2,9.6%,8,Low
2022,10,Central,Online,Beverage,Herbal Tea,Bowl,Dairy-Free,2.84,28.5,3.6,0.1,19.7%,56,High
2025,3,North,Supermarket@,Beverage,Herbal Tea,Cup,Regular,2.84,5.0,1.2,0.4,10.5%,38,Medium
2025,13,North,Online,Food,Lentil Soup,Bottle,Regular,5.93,284.3,4.5,3.3,20.7%,22,Low
2024,8,East,Convenience,Food,Cinnamon Cookies,Box,Low-Sugar,5.5,412.4,16.1,2.3,10.2%,25,Medium
2023,8,Central,Convenience,Food,Cinnamon Cookies,Bowl,Regular,4.54,433.6,31.6,1.9,12.1%,19,Low
2024,10,North,Convenience,Beverage,Spiced Latte,Cup,Regular,4.97,192.3,18.7,5.3,11.5%,33,Medium
2024,10,North,Convenience,Beverage,ginger tea,Bottle,Gluten-Free,3.16,5.0,7.8,5.0,13.5%,42,High
2024,13,East,Wholesale,Food,Winter Salad,Cup,Regular,4.52,199.4,7.6,0.4,25.0%,55,High
2022,NA,West,Online,Food,Gingerbread,Bowl,Regular,4.33,392.0,27.6,5.3,17.5%,47,High
2023,8,North,Wholesale,Beverage,Espresso,Bowl,Regular,1.92,5.0,2.3,1.9,22.7%,89,High
2022,10,South,Supermarket,Beverage,Hot Chocolate,Cup,Regular,3.45,261.1,27.8,2.2,15.8%,101,High
2024,4,West,Supermarket,Beverage,Apple Cider,Bowl,Low-Sugar,4.75,131.7,9.9,3.7,12.1%,24,Medium
2023,5,South,Supermarket,Beverage,Espresso,Box,Regular,2.93,5.0,3.1,0.2,10.5%,65,High
2022,9,North,Supermarket,Beverage,Herbal Tea,Box,Regular,1.45,19.4,4.2,0.2,12.8%,159,High
2022,1,North,Supermarket,Beverage,Ginger Tea,Cup,Regular,1.83,15.0,6.6,4.6,10.7%,73,High
2024,5,East,*Online,Food,Beef Stew,Cup,Vegan,10.19,502.4,4.4,4.1,15.3%,9,Low
2022,10,East,Online,Food,Beef Stew,Bottle,Regular,9.51,539.6,4.7,3.6,20.0%,11,Low
2025,13,Central,Supermarket,Beverage,Mulled Wine,Cup,Regular,6.76,193.8,19.1,5.4,17.4%,10,Low
2024,7,West,Convenience,Beverage,Herbal Tea,Bottle,Low-Sugar,2.71,31.7,2.2,0.6,9.4%,36,Medium
2023,6,West,Cafe,Food,Beef Stew,Cup,Regular,11.59,540.4,0.1,2.6,5.9%,3,Low
2024,6,Central,Supermarket,#Beverage,Apple Cider,Cup,Gluten-Free,4.6,160.1,26.0,3.2,12.2%,19,Low
2022,9,East,Supermarket,Food,Pumpkin Soup,Bowl,Regular,5.12,177.9,11.3,3.8,17.0%,32,Medium
2025,8,EAST,Supermarket,Beverage,Herbal Tea,Cup,Regular,2.19,5.0,0.0,0.8,12.6%,54,High
2023,1,NA,Online,Food,Stuffed Pastry,Bowl,Vegan,6.85,469.6,3.4,3.5,14.3%,17,Low
2025,8,South#,Convenience,Beverage,Ginger Tea,Cup,Gluten-Free,3.34,7.1,7.0,6.4,9.5%,67,High
2022,6,West,Online,Beverage,Ginger Tea,Bowl,Regular,2.46,29.1,5.4,6.4,17.9%,55,High
2023,10,West,Cafe,Food,LENTIL SOUP,Bottle,Regular,6.03,266.1,4.7,4.5,9.2%,14,Low
2024,12,North,Cafe,Food,Pumpkin Soup,Box,Gluten-Free,7.67,246.5,10.5,3.2,9.4%,6,Low
2025,13,East,Supermarket,Beverage,Mulled Wine,Box,Regular,7.12,179.6,14.8,6.4,18.8%,16,Low
2024,8,North,Convenience,Food,Pumpkin Soup,Bottle,Regular,6.82,208.4,6.5,3.3,11.4%,12,Low
2023,5,North,Supermarket,Food,Beef Stew,Bowl,Regular,10.33,519.1,3.8,4.3,11.6%,7,Low
2023,6,East,Convenience,Beverage,Matcha Latte,Cup,Regular,5.72,186.3,12.8,2.3,8.6%,12,Low
2023,3,South,Cafe,Food,Winter Salad,Bowl,Regular,6.29,177.2,6.3,1.2,6.9%,11,Low
2024,13,West,Convenience,Food,Lentil Soup,Cup,Regular,5.97,278.9,1.0,4.1,13.0%,15,Low
2023,12,central,Cafe,Food,Roasted Chestnuts,Bottle,Low-Sugar,6.9,298.4,3.3,2.4,7.7%,27,Medium
2022,12,West,Convenience,Beverage,Mulled Wine,Cup ,Regular,7.0,192.2,17.6,5.0,9.2%,5,Low
2025,5, South,Wholesale,Food*,Baked Potato,Box,Regular,5.95,418.0,5.3,3.6,19.4%,31,Medium
2025,5,South,Supermarket,Food,Creamy Porridge,Bottle,Dairy-Free,5.56,290.4,7.5,1.3,11.4%,24,Medium
2022,12,South,Convenience,Food,Lentil Soup,Bowl!,Regular,5.32,275.1,1.4,3.0,8.8%,16,Low
2024,8,North,Cafe,Food,Lentil Soup,Bottle,Regular,6.64,262.7,4.0,3.5,7.3%,27,Medium
2022,10,Central,SUPERMARKET,Food,Cinnamon Cookies,Cup,Regular,3.61,434.2,33.2,1.4,13.2%,73,High
2024,7,East,Wholesale,Food,Baked Potato,Cup,Regular,5.41,413.5,4.9,2.8,20.7%,37,Medium
2023,6,South,Supermarket,Food,Baked Potato,Bag,Regular,5.09,416.8,2.9,1.6,14.3%,57,High
2024,9,Central,Supermarket,Food,Lentil Soup,Box,Dairy-Free,5.83,238.2,4.3,4.1,13.8%,33,Medium
2024,11,South,Online,Beverage,Spiced Latte,Cup,Gluten-Free,5.64,198.6,20.9,5.6,18.8%,53,High
2025,5,North,Online,Food,Lentil Soup,Box,Regular,5.6,282.0,4.5,3.5,16.7%,41,Medium
2022,11,North,Convenience,Food ,Stuffed Pastry,Bottle,Regular,6.12,481.4,2.4,1.8,11.7%,14,Low
2025,4,West,Supermarket,Beverage,Espresso,Cup,Low-Sugar,2.38,5.0,0.6,0.3,12.1%,55,High
2022,6,West,Supermarket,Beverage,Mulled Wine,Can!,Regular,5.87,193.3,20.5,5.7,13.0%,16,Low
2022,12,North,Online,Beverage,Hot Chocolate,Cup,Low-Sugar,3.78,178.1,12.6,3.8,19.8%,72,High
2024,13,Central,Supermarket,Food,Gingerbread,Cup,Regular,5.08,379.7,30.1,6.1,21.5%,31,Medium
2023,13,Central,Convenience,Food,Roasted Chestnuts,Bowl,Vegan,6.33,347.1,6.2,1.0,14.8%,19,Low
2025,5,Central,Convenience,Food,Creamy Porridge,Cup,Gluten-Free,5.74,307.7,10.0,1.0,8.5%,12,Low
2025,11,South,Online,Food,Roasted Chestnuts,Box,Regular,5.97,342.1,7.4,1.2,19.7%,31,Medium
2023,13,North,Supermarket,Food,Baked Potato,Bowl,Regular,5.49,355.7,6.5,2.4,14.4%,28,Medium
2025,13,Central,Supermarket,Beverage,Herbal Tea,Box,Low-Sugar,2.46,5.0,0.7,0.7,16.9%,34,Medium
2023,1,South,Cafe,Food,Lentil Soup,NA,Regular,6.94,266.1,6.8,4.4,5.2%,10,Low
2024,10,West,Supermarket,Beverage,Herbal Tea,Box,Regular,2.42,18.4,0.7,0.3,12.9%,102,High
2023,13,West,Supermarket,Food,Pumpkin Soup,Bottle,Regular,5.83,237.3,8.2,2.8,16.7%,19,Low
2025,10,North,Supermarket,Food,Beef Stew,Can,Regular,10.55,516.2,1.5,3.5,16.2%,11,Low
2022,4,West,Supermarket,Beverage,Apple Cider,NA,Vegan,3.49,152.2,16.9,3.0,12.2%,38,Medium
2022,10,Central,Supermarket,Beverage,Ginger Tea,Bag,Regular,2.25,11.0,6.6,6.0,15.9%,163,High
2023,2,West,Supermarket,Food,Lentil Soup,Cup,Regular*,4.74,256.3,8.5,4.0,11.0%,24,Medium
2025,7,East,Convenience,Beverage,Hot Chocolate,Bowl,Low-Sugar,5.19,198.1,16.4,0.7,10.4%,28,Medium
2025,9,Central,Cafe,Food,Pumpkin Soup,Box,Regular,7.47,186.7,10.5,3.6,8.5%,16,Low
2024,6,East,Supermarket,Food,Baked Potato,Bottle,Regular,6.28,390.5,3.1,1.1,13.5%,21,Low
2025,10,West,Convenience,Beverage,Matcha Latte,Box,Regular,6.4,207.2,13.5,2.5,13.2%,25,Medium
2025,4,Central,Convenience,Food,Pumpkin Soup,Bottle,Low-Sugar,7.04,197.5,7.1,3.3,8.8%,8,Low
2024,8,West,Online,Food,Creamy Porridge,Cup,Regular,4.6,314.0,14.4,2.7,17.5%,32,Medium
2023,9,South,Supermarket,beverage,Chai Tea,Bowl,Gluten-Free,4.81,130.8,17.0,7.2,16.4%,34,Medium
2025,9,North,Supermarket,Food,Winter Salad,Bottle,Regular,5.23,147.8,7.8,0.3,14.1%,40,Medium
2024,4,South,Cafe,Food,Roasted Chestnuts,Cup,Regular,6.75,356.9,7.1,0.0,6.9%,10,Low
2023,4,East,Online,Food,Beef Stew,Cup,Dairy-Free,9.53,460.1,3.2,2.7,16.1%,14,Low
2022,4,East,Cafe,Beverage,Mulled Wine,Cup,Low-Sugar,6.87,164.8,7.1,5.1,6.8%,12,Low
2024,7,East,Online,Beverage,Espresso,Box,Regular ,2.48,5.0,0.0,2.5,16.3%,82,High
2023,8,South,Supermarket,Food,Stuffed Pastry,Box,Regular,6.15,474.1,3.5,2.0,14.2%,33,Medium
2025,5,West,*Wholesale,Food,Cinnamon Cookies,Can,Regular,4.34,406.9,32.1,3.3,20.3%,63,High
2023,6,Central,Supermarket,Beverage,Ginger Tea,Cup,Regular,2.53,5.0,5.4,5.3,14.5%,79,High
2022,4,South,Convenience,*Food,Stuffed Pastry,Can,Low-Sugar,6.28,418.0,0.1,1.9,9.3%,2,Low
2025,3,West,Wholesale,Beverage,*Espresso,Box,Gluten-Free,3.22,5.0,0.1,1.2,19.1%,69,High
2022,9,NA,Convenience,Beverage,Sahlep,Box,Regular,4.83,266.1,23.3,3.3,12.2%,23,Low
2022,11,East,Online,Food,Stuffed Pastry,Cup,Regular,5.3,487.5,3.4,2.2,19.6%,43,High
2024,4,North,Convenience,Food,Roasted Chestnuts,Cup,Regular,6.02,318.2,6.2,0.5,9.7%,22,Low
2025,12,West,#Online,Food,Cinnamon Cookies,Bag,Regular,4.53,425.4,31.3,3.7,18.6%,37,Medium
2022,8,Central,Supermarket,Food,Cinnamon Cookies,Box, Vegan,3.88,410.2,29.0,2.4,13.9%,36,Medium
2023,3,West,Convenience,Food,Creamy Porridge,Cup,Regular,4.1,327.3,12.0,1.1,8.3%,22,Low
2025,5,Central,Cafe,Beverage,Matcha Latte,#Box,Regular,6.68,177.6,9.8,0.0,7.4%,15,Low
2025,1,Central,Supermarket,Food,Cinnamon Cookies,Cup,Regular,4.62,434.2,27.6,3.0,10.3%,29,Medium
2024,1,South,Supermarket,Beverage,Herbal Tea,Cup,Dairy-Free,2.62,6.5,0.9,1.1,10.6%,41,Medium
2022,5,West,Convenience,Beverage,Sahlep,Box,Regular,4.13,287.8,24.2,2.6,9.6%,24,Medium
2022,6,East,Cafe,Food,Lentil Soup,Can,Regular,5.58,232.9,4.9,3.7,9.0%,23,Low
2022,11,Central,Supermarket,Food,Roasted Chestnuts,Bottle,Regular,4.89,292.5,5.8,0.8,15.1%,14,Low
2022,2,North,Convenience,Food,Pumpkin Soup,Bag,Regular,5.3,226.8,7.0,3.2,7.8%,22,Low
2024,11,East,Online,Beverage,Sahlep,Box,Regular,5.05,287.8,24.0,2.8,NA,21,Low
2022,4,Central,Online,Food,Lentil Soup,Cup,Regular,4.13,268.6,3.0,4.4,15.4%,68,High
2024,2,South,Cafe,Beverage,Herbal Tea,Bowl,Regular,3.26,5.0,4.4,0.8,6.3%,29,Medium
2024,10,West,Wholesale,Beverage,Chai Tea,Box,Regular,3.81,166.8,13.3,7.2,24.3%,70,High
2024,11,South,Online,Beverage,Ginger Tea,Bowl,Low-Sugar,3.0,23.9,3.2,5.4,21.2%,57,High
2022,8,Central,Online,Beverage,Spiced Latte,Bag,Regular,3.64,217.6,23.4,4.4,18.2%,65,High
2025,2,Central,Online,Beverage,Espresso,Bowl,Regular,2.92,15.7,0.0,1.3,14.8%,49,High
2024,2,South,Convenience,Beverage,Spiced Latte,Cup,Regular,5.25,240.9,19.2,3.8,8.0%,14,Low
2024,NA,West,Online,Beverage,Ginger Tea,Cup,Gluten-Free,3.42,29.3,7.3,5.7,17.1%,111,High
2022,6,South,Supermarket,Beverage,Herbal Tea,Box,Vegan,2.26,5.0,2.6,0.0,12.3%,73,High!
2022,13,West,Wholesale,Beverage,Spiced Latte,Bag,Low-Sugar,4.58,166.2,10.5,4.1,26.7%,102,High
2025,4,West,Online,Beverage,Spiced Latte,Cup,Regular,4.85,237.9,18.4,3.4,16.2%,42,High
2023,3,Central,Supermarket,Beverage,Ginger Tea,Cup ,Regular,2.51,42.6,6.2,5.4,11.0%,93,High
2023,13,North,Supermarket,Beverage,Mulled Wine,Box,Regular,6.63,198.2,14.7,7.1,19.8%,15,Low
2023,3,South ,Convenience,Beverage,Spiced Latte,Cup,Regular,4.9,266.1,18.7,4.7,8.4%,17,Low
2024,1,West,Supermarket,Beverage,Herbal Tea,Cup,Regular,2.26,15.9,5.5,1.5,10.3%,31,Medium
2025,6,East,Supermarket,Food,Gingerbread,Box,Regular,5.08,366.6,32.7,7.2,12.0%,41,Medium
2023,NA,East,Online,Beverage,hot chocolate,Box,Regular,3.9,236.5,28.7,2.3,18.1%,71,High
2025,9,North,Cafe,Beverage,Herbal Tea,Box,Regular,3.25,5.0,2.9,0.5,11.7%,45,High
2022,12,South,Convenience,Beverage,Chai Tea,Bowl,Regular,3.4,132.9,12.1,6.1,14.4%,28,Medium
2024,13,Central,Online,Food,Beef Stew,Cup,Regular,10.08,512.8,2.4,3.2,22.6%,7,Low
2024,4,North,Supermarket,Beverage,*Spiced Latte,Bag,Vegan,5.19,193.1,19.2,4.4,12.6%,18,Low
2022,13,South,Convenience,Beverage,Sahlep,Cup,Regular,4.33,254.9,27.3,2.1,14.1%,32,Medium
2022,9,Central,Online,Beverage,Herbal Tea,Cup,GLUTEN-FREE,2.01,38.7,0.0,1.7,18.6%,88,High
